"x"	"y"	"wt_elev"	"Y"	"X"	"xslope"	"yslope"	"elev"	"smag"	"dtw"
32	2	1962.66789776557	135	2835	0	-0.233222222222222	2023	0.233222222222222	60.3321022344289
33	2	2008.56650595639	135	2925	0.5	-5e-04	2069	0.500000249999938	60.4334940436092
34	2	1988.61850180999	135	3015	0	-0.411111111111111	2069	0.411111111111111	80.3814981900141
35	2	2032.97513153013	135	3105	0.5	-5e-04	2133	0.500000249999938	100.024868469874
36	2	2037.63408028752	135	3195	0.000477777777777778	-0.477777777777778	2138	0.477778016666607	100.365919712483
37	2	2058.60400907115	135	3285	0.233333333333333	-0.000233333333333333	2159	0.23333344999997	100.395990928849
38	2	2019.88321854905	135	3375	0.122222222222222	0.000122222222222222	2170	0.122222283333318	150.116781450952
39	2	2045.66608667938	135	3465	0.288888888888889	-0.000288888888888889	2196	0.288889033333297	150.333913320619
40	2	2045.64404649928	135	3555	0.000111111111113536	0	2196	0.000111111111113536	150.355953500715
41	2	2077.59256859153	135	3645	0.355444444444442	-0.000355444444444442	2228	0.35544462216662	150.407431408471
42	2	2094.53420295973	135	3735	0.188888888888889	0	2245	0.188888888888889	150.465797040268
43	2	2068.91967798853	135	3825	0.000266666666666667	-0.266666666666667	2269	0.266666799999967	200.080322011469
44	2	2120.51799588994	135	3915	-7.77777777777778e-05	0.0777777777777778	2271	0.077777816666657	150.482004110065
45	2	2114.59726488608	135	4005	0	0.133333333333333	2265	0.133333333333333	150.402735113917
46	2	2111.7161246081	135	4095	0.5	-5e-04	2312	0.500000249999938	200.283875391897
47	2	2111.63460650417	135	4185	0	-0.36644444444444	2312	0.36644444444444	200.365393495831
48	2	2143.66356836176	135	4275	0.355555555555556	-0.000355555555555556	2344	0.355555733333289	200.336431638243
49	2	2151.53068981927	135	4365	0.0888888888888889	0	2352	0.0888888888888889	200.469310180731
50	2	2171.55478885345	135	4455	0.222222222222222	0	2372	0.222222222222222	200.445211146552
51	2	2191.55809896253	135	4545	0.222222222222222	-0.000222222222222222	2392	0.222222333333305	200.44190103747
52	2	2198.48151967108	135	4635	0.000222222222222222	0.222222222222222	2399	0.222222333333305	200.518480328919
