"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 24 11 10 9 8 7 6 5 4 1 0 1 2 3 3 2 3 4 5 6 7 8 9 10 4 3 2 1 2 3 4 10 11 13 12 11 10 11 1 1 0 0 1 3 5 4 3 2 2 3 0 1 4 5 6 7 8 9 10 11 NA NA NA NA NA NA NA NA NA
NA NA 12 11 10 9 8 4 3 2 1 0 0 1 2 3 4 4 5 6 7 8 9 10 11 5 4 3 2 3 4 5 11 12 14 13 3 2 1 0 0 0 1 2 4 6 5 4 3 3 4 0 0 1 2 7 8 9 10 11 12 NA NA NA NA NA NA NA NA NA
NA NA 8 7 6 5 4 3 2 1 1 0 0 0 0 1 2 3 4 5 8 9 10 11 12 6 5 4 5 6 7 8 12 13 6 5 4 3 2 0 1 1 2 6 5 7 6 7 4 4 5 1 0 1 2 3 4 5 6 12 13 NA NA NA NA NA NA NA NA NA
NA NA 10 6 5 4 3 2 1 0 0 0 1 1 1 2 3 4 5 6 9 10 11 12 13 14 6 5 6 7 8 9 12 7 6 6 5 2 1 0 2 3 4 5 6 7 7 8 5 6 6 2 1 2 3 4 5 6 7 8 NA NA NA NA NA NA NA NA NA NA
NA 10 9 6 5 4 3 2 1 0 1 1 2 3 2 3 4 5 6 7 10 11 12 13 14 15 9 8 7 8 9 10 11 6 5 4 3 2 1 0 3 4 5 6 7 8 8 9 6 7 7 3 2 3 4 5 6 7 8 9 8 7 6 5 4 3 2 1 0 0
NA 9 8 7 6 5 4 3 2 0 2 2 3 4 3 4 5 6 7 8 9 10 13 14 15 16 10 9 8 9 10 11 10 9 8 7 2 1 0 0 4 5 6 7 8 9 10 10 11 8 5 4 3 4 5 6 7 8 9 10 9 8 7 6 5 4 3 2 1 NA
NA 10 9 8 7 6 5 4 3 0 1 3 4 5 4 5 6 7 8 9 10 11 12 13 18 17 11 12 11 10 11 10 9 8 7 6 3 2 1 0 1 2 3 8 9 10 11 11 12 9 6 5 4 5 6 7 8 9 10 11 10 9 8 7 6 5 4 3 2 NA
NA 11 10 9 8 7 6 5 4 0 1 2 3 4 5 6 9 8 9 10 11 12 13 14 19 18 19 13 12 11 12 11 10 7 6 5 4 3 2 0 0 0 1 2 3 4 5 6 7 8 9 6 5 6 7 8 9 10 11 12 11 10 9 8 7 6 5 4 NA NA
NA 12 11 10 9 3 2 1 0 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 14 13 12 13 12 9 8 7 6 5 4 3 1 1 0 2 3 4 5 6 7 8 9 10 11 12 7 8 9 10 11 12 13 12 11 10 9 8 7 NA NA NA NA
NA 13 12 11 4 3 2 1 0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 15 14 13 14 13 10 9 8 7 6 5 4 2 2 0 3 4 5 6 7 8 9 10 11 12 13 8 9 10 11 12 15 14 13 12 11 10 9 NA NA NA NA NA
