"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 10 10 10 10 10 10 10 10 10 10 12 12 13 15 15 15 15 15 15 15 15 15 15 17 17 29 29 29 29 29 39 39 39 39 39 39 39 39 40 40 40 40 41 41 44 44 48 48 49 52 52 53 53 53 53 53 53 53 69 69 69 69 69 69 69 69 69 69 NA
NA 10 10 10 10 10 10 10 10 10 10 10 10 10 10 15 15 15 15 15 15 15 15 15 17 17 17 29 29 29 29 39 39 39 39 39 39 39 39 40 41 42 42 42 42 42 42 42 42 42 42 52 53 53 53 53 53 53 53 69 69 69 69 69 69 69 69 69 NA NA
NA 10 10 10 10 9 9 9 9 10 10 10 10 10 10 10 10 15 15 15 15 15 15 15 15 17 17 29 29 29 39 39 39 39 39 39 39 39 39 40 41 42 42 42 42 42 42 42 42 42 42 42 42 53 53 53 53 53 53 69 69 69 69 69 69 69 NA NA NA NA
NA 10 10 10 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 15 15 15 15 15 17 17 29 29 29 39 39 39 39 39 39 39 39 39 40 41 42 42 42 42 42 42 42 42 42 42 42 42 53 53 53 53 53 69 69 69 69 69 69 69 NA NA NA NA NA
NA 8 8 8 8 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 15 15 15 15 29 29 29 29 29 39 39 39 39 39 39 39 39 39 40 41 42 43 44 45 46 46 46 46 46 46 46 42 53 53 53 53 53 69 69 69 69 69 69 NA NA NA NA NA NA
NA 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 15 25 25 26 27 29 29 29 29 29 39 39 39 39 39 39 39 41 41 42 42 44 44 46 46 46 46 46 46 46 46 46 53 53 53 53 69 69 69 69 NA NA NA NA NA NA NA NA
NA 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 10 10 10 10 10 10 25 25 25 26 27 27 29 29 29 29 29 29 39 39 39 41 41 41 41 42 42 44 44 46 46 46 46 46 46 46 46 46 46 46 46 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 10 10 10 10 22 23 25 25 26 27 27 29 29 29 29 29 29 29 41 41 41 41 41 41 42 42 42 44 46 46 46 46 46 46 46 46 46 46 46 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 19 22 22 22 23 25 25 26 27 27 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 41 41 46 46 46 46 46 46 46 46 46 46 46 46 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 8 8 8 8 8 8 8 9 10 10 10 10 10 11 11 11 11 19 22 22 22 23 24 25 26 27 28 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 41 41 41 46 46 46 46 46 46 46 46 46 46 46 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 8 8 8 8 8 8 8 9 10 10 10 11 11 11 11 11 11 19 20 22 22 23 24 25 26 27 28 29 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 41 41 46 46 46 46 46 46 46 46 46 46 46 68 68 68 68 68 68 68 68 NA NA NA NA NA
NA 8 8 8 8 8 8 10 10 10 11 11 11 11 11 11 11 18 19 20 21 22 23 24 25 26 27 28 29 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 41 41 46 46 46 46 46 46 46 46 53 53 46 67 67 67 67 67 68 68 68 68 NA NA NA NA
NA NA 8 9 9 9 9 10 10 10 11 12 12 12 12 12 12 18 19 20 21 22 22 22 25 26 27 28 29 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 41 41 46 46 46 46 46 46 53 53 53 53 67 67 67 67 67 67 68 68 68 68 68 68 NA NA
NA NA 8 9 9 9 9 9 9 10 11 12 13 14 14 14 17 18 19 20 20 20 20 20 25 26 27 28 29 29 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 41 46 46 46 46 46 53 53 53 53 53 53 67 67 67 67 67 68 68 68 68 68 68 NA NA
NA NA 9 9 9 9 9 9 9 10 11 12 13 14 14 14 17 18 19 20 20 20 20 20 20 27 27 28 29 29 29 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 46 46 46 46 46 53 53 53 53 53 53 67 67 67 67 67 67 67 67 68 68 68 NA NA
NA 9 9 9 9 9 9 9 9 10 11 12 13 14 15 16 17 18 19 19 19 20 20 20 20 27 27 28 29 29 29 29 29 29 29 29 29 29 41 41 41 41 41 41 41 41 46 46 46 46 53 53 53 53 53 53 53 53 67 67 67 67 67 67 67 67 67 68 69 70
NA NA 9 9 9 9 9 9 9 9 11 13 13 14 15 15 17 18 18 20 20 20 20 22 22 27 22 28 29 29 29 29 29 29 29 29 29 35 35 35 35 41 41 41 41 41 46 46 46 53 53 53 53 53 53 53 53 53 67 67 67 67 67 67 67 67 67 NA NA NA
NA NA NA 9 9 9 9 9 9 9 11 13 13 14 15 15 17 18 19 20 20 21 22 22 22 22 22 22 22 29 29 29 29 29 35 35 35 35 35 35 35 35 35 35 35 35 35 35 53 53 53 53 53 53 53 53 53 53 67 67 67 67 67 67 67 67 NA NA NA NA
